Words	Exact	CMS	Abs_Err	Rel_Err	Rel_Err_Mean
	51858	51862	4	7.713371128851865e-05	7.10697
0	44	44	0	0.0
0this	2	7	5	2.5
1	5	10	5	1.0
10	2	13	11	5.5
11	1	7	6	6.0
13	2	24	22	11.0
13951hhtm	1	6	5	5.0
13951hzipdiv	1	6	5	5.0
15	1	10	9	9.0
1500	1	8	7	7.0
1572	1	24	23	23.0
16	1	5	4	4.0
1610	1	18	17	17.0
1625	2	10	8	4.0
1627	3	5	2	0.6666666666666666
1628	6	20	14	2.3333333333333335
1633	1	13	12	12.0
1a	1	15	14	14.0
1b	1	17	16	16.0
1c	2	10	8	4.0
1d	1	13	12	12.0
1e	2	12	10	5.0
1e1	5	10	5	1.0
1e2	1	14	13	13.0
1e3	1	16	15	15.0
1e4	1	18	17	17.0
1e5	1	10	9	9.0
1e6	1	25	24	24.0
1e7	3	15	12	4.0
1e8	4	6	2	0.5
1e9	3	21	18	6.0
1er	1	14	13	13.0
1f	1	17	16	16.0
1f1	1	20	19	19.0
1f2	1	22	21	21.0
1f3	5	8	3	0.6
1f4	1	10	9	9.0
1f5	1	11	10	10.0
1f6	1	15	14	14.0
2	1	12	11	11.0
20	2	9	7	3.5
2001	1	13	12	12.0
22	1	15	14	14.0
23	7	18	11	1.5714285714285714
24	2	5	3	1.5
25	5	17	12	2.4
28	2	15	13	6.5
3	5	14	9	1.8
30	1	12	11	11.0
4	3	14	11	3.6666666666666665
4772	1	21	20	20.0
4773	1	28	27	27.0
5	5	26	21	4.2
50	1	5	4	4.0
5000	1	14	13	13.0
501c3	1	12	11	11.0
5961887	1	19	18	18.0
6	2	8	6	3.0
60	1	16	15	15.0
646221541	1	13	12	12.0
75	3	15	12	4.0
801	1	5	4	4.0
809	1	18	17	17.0
8216asis8217	1	21	20	20.0
8220defects8221	1	18	17	17.0
8220information	1	17	16	16.0
8220plain	2	10	8	4.0
8220project	5	12	7	1.4
8220right	1	3	2	2.0
8220the	1	16	15	15.0
84116	1	8	7	7.0
90	2	17	15	7.5
a	670	686	16	0.023880597014925373
abaissait	1	13	12	12.0
abaissant	2	16	14	7.0
